Ref,Val,Package,PosX,PosY,Rot,Side
"LED1","LED","LED_0805_2012Metric",40.000000,-41.000000,180.000000,bottom
"LED2","LED","LED_0805_2012Metric",70.500000,-41.000000,180.000000,bottom
"LED3","LED","LED_0805_2012Metric",75.000000,-33.062500,180.000000,bottom
"R_led1","330R","R_0402_1005Metric",40.000000,-38.500000,90.000000,bottom
"R_led2","330R","R_0402_1005Metric",70.500000,-38.000000,90.000000,bottom
"R_led3","330R","R_0402_1005Metric",75.000000,-35.562500,-90.000000,bottom
"SW1","SW_Push","SW_SPST_B3U-1000P",54.000000,-33.000000,180.000000,bottom
"C_by1","100nF","C_0402_1005Metric",47.000000,-36.000000,90.000000,top
"C_by2","100nF","C_0402_1005Metric",57.500000,-33.000000,0.000000,top
"C_by3","100nF","C_0402_1005Metric",59.500000,-33.000000,-90.000000,top
"C_cs1","22pF","C_0402_1005Metric",68.000000,-33.000000,0.000000,top
"C_cs2","22pF","C_0402_1005Metric",69.000000,-46.500000,0.000000,top
"C_in1","1µF","C_0402_1005Metric",38.500000,-33.000000,-90.000000,top
"C_out1","2.2µF","C_0402_1005Metric",47.000000,-34.000000,-90.000000,top
"C_rst1","100nF","C_0402_1005Metric",50.000000,-33.480000,-90.000000,top
"D1","IN4007","D_SOD-123",49.500000,-50.500000,0.000000,top
"D2","IN4007","D_SOD-123",44.500000,-50.500000,0.000000,top
"D_tvs1","D_TVS","D_SMB",38.500000,-50.000000,0.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",35.000000,-34.000000,0.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",56.500000,-50.000000,90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",68.000000,-50.000000,90.000000,top
"Q1","S8050","SOT-23",50.500000,-47.500000,0.000000,top
"Q2","S8050","SOT-23",46.000000,-47.500000,0.000000,top
"R5","10K","R_0402_1005Metric",48.490000,-33.000000,0.000000,top
"R_b1","1K","R_0402_1005Metric",49.500000,-44.000000,180.000000,top
"R_b2","1K","R_0402_1005Metric",47.000000,-45.000000,180.000000,top
"R_de1","10K","R_0402_1005Metric",48.500000,-41.000000,90.000000,top
"R_swdclk1","10K","R_0402_1005Metric",72.500000,-47.500000,0.000000,top
"R_swdio1","10K","R_0402_1005Metric",72.500000,-45.500000,0.000000,top
"R_term1","120","R_0402_1005Metric",38.500000,-45.500000,90.000000,top
"U1","AP2112K-3.3","SOT-23-5",42.500000,-34.000000,0.000000,top
"U2","STM32G030F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",55.000000,-40.500000,-90.000000,top
"U3","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",43.500000,-41.000000,180.000000,top
"U4","TTP223-BA6","SOT-23-6",64.000000,-35.000000,0.000000,top
"U5","TTP223-BA6","SOT-23-6",64.000000,-44.500000,0.000000,top
