"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C_by1, C_by2, C_by3, C_rst";"C_0402_1005Metric";4;"100nF";;;
2;"C_cs1, C_cs2";"C_0402_1005Metric";2;"22pF";;;
3;"C_in";"C_0402_1005Metric";1;"1µF";;;
4;"C_out";"C_0402_1005Metric";1;"2.2µF";;;
5;"D1, D2";"D_SOD-123";2;"IN4007";;;
6;"D_TVS";"D_SMB";1;"D_TVS";;;
7;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04_Pin";;;
8;"J3, J4";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
9;"LED1, LED2, LED3";"LED_0805_2012Metric";3;"LED";;;
10;"Q1, Q2";"SOT-23";2;"S8050";;;
11;"R5, R_clk, R_de, R_dio";"R_0402_1005Metric";4;"10K";;;
12;"R_b1, R_b2";"R_0402_1005Metric";2;"1K";;;
13;"R_led1, R_led2, R_led3";"R_0402_1005Metric";3;"330R";;;
14;"R_term";"R_0402_1005Metric";1;"120";;;
15;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
16;"U2";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"STM32G030F6Px";;;
17;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX3485";;;
18;"U4, U5";"SOT-23-6";2;"TTP223-BA6";;;
